LocationType,Location,TimeFrame,DataFormat,Data
School District,Ashland Ind.,2009,Number,233
School District,Ashland Ind.,2009,Percent,0.88
School District,Augusta Ind.,2003,Number,16
School District,Augusta Ind.,2004,Number,24
School District,Augusta Ind.,2005,Number,19
School District,Augusta Ind.,2006,Number,24
School District,Augusta Ind.,2007,Number,20
School District,Augusta Ind.,2008,Number,25
School District,Augusta Ind.,2003,Percent,1
School District,Augusta Ind.,2004,Percent,1
School District,Augusta Ind.,2005,Percent,1
School District,Augusta Ind.,2006,Percent,1
School District,Augusta Ind.,2007,Percent,1
School District,Augusta Ind.,2008,Percent,0.96
School District,Augusta Ind.,2009,Number,29
School District,Augusta Ind.,2009,Percent,1
School District,Ballard Co.,2003,Number,66
School District,Ballard Co.,2004,Number,94
School District,Ballard Co.,2005,Number,95
School District,Ballard Co.,2006,Number,96
School District,Ballard Co.,2007,Number,83
School District,Ballard Co.,2008,Number,87
School District,Ballard Co.,2003,Percent,0.83
School District,Ballard Co.,2004,Percent,0.87
School District,Ballard Co.,2005,Percent,0.91
School District,Ballard Co.,2006,Percent,0.94
School District,Ballard Co.,2007,Percent,0.92
School District,Ballard Co.,2008,Percent,0.91
School District,Ballard Co.,2009,Number,106
School District,Ballard Co.,2009,Percent,0.89
School District,Barbourville Ind.,2003,Number,44
School District,Barbourville Ind.,2004,Number,53
School District,Barbourville Ind.,2005,Number,51
School District,Barbourville Ind.,2006,Number,36
School District,Barbourville Ind.,2007,Number,40
School District,Barbourville Ind.,2008,Number,52
School District,Barbourville Ind.,2003,Percent,1
School District,Barbourville Ind.,2004,Percent,0.98
School District,Barbourville Ind.,2005,Percent,1
School District,Barbourville Ind.,2006,Percent,0.97
School District,Barbourville Ind.,2007,Percent,1
School District,Barbourville Ind.,2008,Percent,1
School District,Barbourville Ind.,2009,Number,48
School District,Barbourville Ind.,2009,Percent,0.94
School District,Bardstown Ind.,2003,Number,103
School District,Bardstown Ind.,2004,Number,102
School District,Bardstown Ind.,2005,Number,75
School District,Bardstown Ind.,2006,Number,116
School District,Bardstown Ind.,2007,Number,99
School District,Bardstown Ind.,2008,Number,113
School District,Bardstown Ind.,2003,Percent,0.74
School District,Bardstown Ind.,2004,Percent,0.93
School District,Bardstown Ind.,2005,Percent,0.72
School District,Bardstown Ind.,2006,Percent,0.86
School District,Bardstown Ind.,2007,Percent,0.92
School District,Bardstown Ind.,2008,Percent,0.93
School District,Bardstown Ind.,2009,Number,113
School District,Bardstown Ind.,2009,Percent,0.86
School District,Barren Co.,2003,Number,235
School District,Barren Co.,2004,Number,238
School District,Barren Co.,2005,Number,232
School District,Barren Co.,2006,Number,237
School District,Barren Co.,2007,Number,237
School District,Barren Co.,2008,Number,314
School District,Barren Co.,2003,Percent,0.8
School District,Barren Co.,2004,Percent,0.81
School District,Barren Co.,2005,Percent,0.79
School District,Barren Co.,2006,Percent,0.85
School District,Barren Co.,2007,Percent,0.78
School District,Barren Co.,2008,Percent,0.84
School District,Barren Co.,2009,Number,246
School District,Barren Co.,2009,Percent,0.77
School District,Bath Co.,2003,Number,89
School District,Bath Co.,2004,Number,89
School District,Bath Co.,2005,Number,82
School District,Bath Co.,2006,Number,114
School District,Bath Co.,2007,Number,92
School District,Bath Co.,2008,Number,110
School District,Bath Co.,2003,Percent,0.67
School District,Bath Co.,2004,Percent,0.72
School District,Bath Co.,2005,Percent,0.87
School District,Bath Co.,2006,Percent,0.83
School District,Bath Co.,2007,Percent,0.77
School District,Bath Co.,2008,Percent,0.83
School District,Bath Co.,2009,Number,153
School District,Bath Co.,2009,Percent,0.88
School District,Beechwood Ind.,2003,Number,81
School District,Beechwood Ind.,2004,Number,78
School District,Beechwood Ind.,2005,Number,87
School District,Beechwood Ind.,2006,Number,80
School District,Beechwood Ind.,2007,Number,68
School District,Beechwood Ind.,2008,Number,84
School District,Beechwood Ind.,2003,Percent,0.99
School District,Beechwood Ind.,2004,Percent,0.98
School District,Beechwood Ind.,2005,Percent,0.98
School District,Beechwood Ind.,2006,Percent,0.98
School District,Beechwood Ind.,2007,Percent,0.99
School District,Beechwood Ind.,2008,Percent,0.99
School District,Beechwood Ind.,2009,Number,72
School District,Beechwood Ind.,2009,Percent,0.99
School District,Bell Co.,2003,Number,173
School District,Bell Co.,2004,Number,183
School District,Bell Co.,2005,Number,186
School District,Bell Co.,2006,Number,184
School District,Bell Co.,2007,Number,182
School District,Bell Co.,2008,Number,160
School District,Bell Co.,2003,Percent,0.69
School District,Bell Co.,2004,Percent,0.67
School District,Bell Co.,2005,Percent,0.75
School District,Bell Co.,2006,Percent,0.74
School District,Bell Co.,2007,Percent,0.82
School District,Bell Co.,2008,Percent,0.8
School District,Bell Co.,2009,Number,175
School District,Bell Co.,2009,Percent,0.86
School District,Bellevue Ind.,2003,Number,47
School District,Bellevue Ind.,2004,Number,43
School District,Bellevue Ind.,2005,Number,53
School District,Bellevue Ind.,2006,Number,62
School District,Bellevue Ind.,2007,Number,67
School District,Bellevue Ind.,2008,Number,56
School District,Bellevue Ind.,2003,Percent,0.85
School District,Bellevue Ind.,2004,Percent,0.9
School District,Bellevue Ind.,2005,Percent,0.91
School District,Bellevue Ind.,2006,Percent,0.93
School District,Bellevue Ind.,2007,Percent,0.96
School District,Bellevue Ind.,2008,Percent,1
School District,Bellevue Ind.,2009,Number,52
School District,Bellevue Ind.,2009,Percent,1
School District,Berea Ind.,2003,Number,61
School District,Berea Ind.,2004,Number,66
School District,Berea Ind.,2005,Number,65
School District,Berea Ind.,2006,Number,71
School District,Berea Ind.,2007,Number,61
School District,Berea Ind.,2008,Number,71
School District,Berea Ind.,2003,Percent,0.86
School District,Berea Ind.,2004,Percent,0.84
School District,Berea Ind.,2005,Percent,0.87
School District,Berea Ind.,2006,Percent,0.9
School District,Berea Ind.,2007,Percent,0.92
School District,Berea Ind.,2008,Percent,0.91
School District,Berea Ind.,2009,Number,67
School District,Berea Ind.,2009,Percent,0.88
School District,Boone Co.,2003,Number,899
School District,Boone Co.,2004,Number,804
School District,Boone Co.,2005,Number,879
School District,Boone Co.,2006,Number,840
School District,Boone Co.,2007,Number,1031
School District,Boone Co.,2008,Number,1025
School District,Boone Co.,2003,Percent,0.91
School District,Boone Co.,2004,Percent,0.91
School District,Boone Co.,2005,Percent,0.89
School District,Boone Co.,2006,Percent,0.87
School District,Boone Co.,2007,Percent,0.91
School District,Boone Co.,2008,Percent,0.89
School District,Boone Co.,2009,Number,1072
School District,Boone Co.,2009,Percent,0.89
School District,Bourbon Co.,2003,Number,168
School District,Bourbon Co.,2004,Number,167
School District,Bourbon Co.,2005,Number,161
School District,Bourbon Co.,2006,Number,171
School District,Bourbon Co.,2007,Number,180
School District,Bourbon Co.,2008,Number,179
School District,Bourbon Co.,2003,Percent,0.9
School District,Bourbon Co.,2004,Percent,0.88
School District,Bourbon Co.,2005,Percent,0.9
School District,Bourbon Co.,2006,Percent,0.88
School District,Bourbon Co.,2007,Percent,0.9
School District,Bourbon Co.,2008,Percent,0.89
School District,Bourbon Co.,2009,Number,189
School District,Bourbon Co.,2009,Percent,0.86
School District,Bowling Green Ind.,2003,Number,208
School District,Bowling Green Ind.,2004,Number,199
School District,Bowling Green Ind.,2005,Number,192
School District,Bowling Green Ind.,2006,Number,192
School District,Bowling Green Ind.,2007,Number,215
School District,Bowling Green Ind.,2008,Number,250
School District,Bowling Green Ind.,2003,Percent,0.87
School District,Bowling Green Ind.,2004,Percent,0.86
School District,Bowling Green Ind.,2005,Percent,0.91
School District,Bowling Green Ind.,2006,Percent,0.85
School District,Bowling Green Ind.,2007,Percent,0.88
School District,Bowling Green Ind.,2008,Percent,0.91
School District,Bowling Green Ind.,2009,Number,233
School District,Bowling Green Ind.,2009,Percent,0.94
School District,Boyd Co.,2003,Number,229
School District,Boyd Co.,2004,Number,200
School District,Boyd Co.,2005,Number,214
School District,Boyd Co.,2006,Number,199
School District,Boyd Co.,2007,Number,223
School District,Boyd Co.,2008,Number,278
School District,Boyd Co.,2003,Percent,0.86
School District,Boyd Co.,2004,Percent,0.88
School District,Boyd Co.,2005,Percent,0.88
School District,Boyd Co.,2006,Percent,0.85
School District,Boyd Co.,2007,Percent,0.89
School District,Boyd Co.,2008,Percent,0.94
School District,Boyd Co.,2009,Number,220
School District,Boyd Co.,2009,Percent,0.92
School District,Boyle Co.,2003,Number,178
School District,Boyle Co.,2004,Number,181
School District,Boyle Co.,2005,Number,205
School District,Boyle Co.,2006,Number,159
School District,Boyle Co.,2007,Number,212
School District,Boyle Co.,2008,Number,172
School District,Boyle Co.,2003,Percent,0.82
School District,Boyle Co.,2004,Percent,0.88
School District,Boyle Co.,2005,Percent,0.94
School District,Boyle Co.,2006,Percent,0.89
School District,Boyle Co.,2007,Percent,0.92
School District,Boyle Co.,2008,Percent,0.86
School District,Boyle Co.,2009,Number,199
School District,Boyle Co.,2009,Percent,0.88
School District,Bracken Co.,2003,Number,77
School District,Bracken Co.,2004,Number,79
School District,Bracken Co.,2005,Number,88
School District,Bracken Co.,2006,Number,87
School District,Bracken Co.,2007,Number,73
School District,Bracken Co.,2008,Number,72
School District,Bracken Co.,2003,Percent,0.92
School District,Bracken Co.,2004,Percent,0.87
School District,Bracken Co.,2005,Percent,0.88
School District,Bracken Co.,2006,Percent,0.95
School District,Bracken Co.,2007,Percent,0.79
School District,Bracken Co.,2008,Percent,0.87
School District,Bracken Co.,2009,Number,65
School District,Bracken Co.,2009,Percent,0.87
School District,Breathitt Co.,2003,Number,110
School District,Breathitt Co.,2004,Number,110
School District,Breathitt Co.,2005,Number,154
School District,Breathitt Co.,2006,Number,114
School District,Breathitt Co.,2007,Number,137
School District,Breathitt Co.,2008,Number,124
School District,Breathitt Co.,2003,Percent,0.5
School District,Breathitt Co.,2004,Percent,0.63
School District,Breathitt Co.,2005,Percent,0.83
School District,Breathitt Co.,2006,Percent,0.81
School District,Breathitt Co.,2007,Percent,0.86
School District,Breathitt Co.,2008,Percent,0.77
School District,Breathitt Co.,2009,Number,137
School District,Breathitt Co.,2009,Percent,0.8
School District,Breckinridge Co.,2003,Number,173
School District,Breckinridge Co.,2004,Number,189
School District,Breckinridge Co.,2005,Number,169
School District,Breckinridge Co.,2006,Number,180
School District,Breckinridge Co.,2007,Number,188
School District,Breckinridge Co.,2008,Number,178
School District,Breckinridge Co.,2003,Percent,0.79
School District,Breckinridge Co.,2004,Percent,0.89
School District,Breckinridge Co.,2005,Percent,0.82
School District,Breckinridge Co.,2006,Percent,0.87
School District,Breckinridge Co.,2007,Percent,0.92
School District,Breckinridge Co.,2008,Percent,0.86
School District,Breckinridge Co.,2009,Number,194
School District,Breckinridge Co.,2009,Percent,0.86
School District,Bullitt Co.,2003,Number,627
School District,Bullitt Co.,2004,Number,599
School District,Bullitt Co.,2005,Number,624
School District,Bullitt Co.,2006,Number,627
School District,Bullitt Co.,2007,Number,656
School District,Bullitt Co.,2008,Number,745
School District,Bullitt Co.,2003,Percent,0.81
School District,Bullitt Co.,2004,Percent,0.8
School District,Bullitt Co.,2005,Percent,0.81
School District,Bullitt Co.,2006,Percent,0.79
School District,Bullitt Co.,2007,Percent,0.81
School District,Bullitt Co.,2008,Percent,0.85
School District,Bullitt Co.,2009,Number,756
School District,Bullitt Co.,2009,Percent,0.84
School District,Burgin Ind.,2003,Number,21
School District,Burgin Ind.,2004,Number,29
School District,Burgin Ind.,2005,Number,23
School District,Burgin Ind.,2006,Number,35
School District,Burgin Ind.,2007,Number,28
School District,Burgin Ind.,2008,Number,34
School District,Burgin Ind.,2003,Percent,0.84
School District,Burgin Ind.,2004,Percent,0.88
School District,Burgin Ind.,2005,Percent,0.88
School District,Burgin Ind.,2006,Percent,0.95
School District,Burgin Ind.,2007,Percent,0.97
School District,Burgin Ind.,2008,Percent,0.94
School District,Burgin Ind.,2009,Number,31
School District,Burgin Ind.,2009,Percent,0.91
School District,Butler Co.,2003,Number,141
School District,Butler Co.,2004,Number,130
School District,Butler Co.,2005,Number,131
School District,Butler Co.,2006,Number,143
School District,Butler Co.,2007,Number,153
School District,Butler Co.,2008,Number,145
School District,Butler Co.,2003,Percent,0.89
School District,Butler Co.,2004,Percent,0.84
School District,Butler Co.,2005,Percent,0.91
School District,Butler Co.,2006,Percent,0.89
School District,Butler Co.,2007,Percent,0.92
School District,Butler Co.,2008,Percent,0.86
School District,Butler Co.,2009,Number,159
School District,Butler Co.,2009,Percent,0.88
School District,Caldwell Co.,2003,Number,146
School District,Caldwell Co.,2004,Number,131
School District,Caldwell Co.,2005,Number,130
School District,Caldwell Co.,2006,Number,142
School District,Caldwell Co.,2007,Number,124
School District,Caldwell Co.,2008,Number,135
School District,Caldwell Co.,2003,Percent,0.85
School District,Caldwell Co.,2004,Percent,0.92
School District,Caldwell Co.,2005,Percent,0.86
School District,Caldwell Co.,2006,Percent,0.9
School District,Caldwell Co.,2007,Percent,0.87
School District,Caldwell Co.,2008,Percent,0.88
School District,Caldwell Co.,2009,Number,139
School District,Caldwell Co.,2009,Percent,0.91
School District,Calloway Co.,2003,Number,189
School District,Calloway Co.,2004,Number,210
School District,Calloway Co.,2005,Number,222
School District,Calloway Co.,2006,Number,202
School District,Calloway Co.,2007,Number,207
School District,Calloway Co.,2008,Number,220
School District,Calloway Co.,2003,Percent,0.9
School District,Calloway Co.,2004,Percent,0.92
School District,Calloway Co.,2005,Percent,0.91
School District,Calloway Co.,2006,Percent,0.95
School District,Calloway Co.,2007,Percent,0.95
School District,Calloway Co.,2008,Percent,0.89
School District,Calloway Co.,2009,Number,214
School District,Calloway Co.,2009,Percent,0.9
School District,Campbell Co.,2003,Number,303
School District,Campbell Co.,2004,Number,316
School District,Campbell Co.,2005,Number,317
School District,Campbell Co.,2006,Number,299
School District,Campbell Co.,2007,Number,308
School District,Campbell Co.,2008,Number,334
School District,Campbell Co.,2003,Percent,0.85
School District,Campbell Co.,2004,Percent,0.83
School District,Campbell Co.,2005,Percent,0.86
School District,Campbell Co.,2006,Percent,0.86
School District,Campbell Co.,2007,Percent,0.89
School District,Campbell Co.,2008,Percent,0.9
School District,Campbell Co.,2009,Number,314
School District,Campbell Co.,2009,Percent,0.8
School District,Campbellsville Ind.,2003,Number,76
School District,Campbellsville Ind.,2004,Number,72
School District,Campbellsville Ind.,2005,Number,80
School District,Campbellsville Ind.,2006,Number,82
School District,Campbellsville Ind.,2007,Number,67
School District,Campbellsville Ind.,2008,Number,57
School District,Campbellsville Ind.,2003,Percent,0.76
School District,Campbellsville Ind.,2004,Percent,0.79
School District,Campbellsville Ind.,2005,Percent,0.8
School District,Campbellsville Ind.,2006,Percent,0.89
School District,Campbellsville Ind.,2007,Percent,0.91
School District,Campbellsville Ind.,2008,Percent,0.7
School District,Campbellsville Ind.,2009,Number,77
School District,Campbellsville Ind.,2009,Percent,0.81
School District,Carlisle Co.,2003,Number,58
School District,Carlisle Co.,2004,Number,49
School District,Carlisle Co.,2005,Number,51
School District,Carlisle Co.,2006,Number,46
School District,Carlisle Co.,2007,Number,51
School District,Carlisle Co.,2008,Number,64
School District,Carlisle Co.,2003,Percent,0.88
School District,Carlisle Co.,2004,Percent,0.83
School District,Carlisle Co.,2005,Percent,0.91
School District,Carlisle Co.,2006,Percent,0.85
School District,Carlisle Co.,2007,Percent,0.81
School District,Carlisle Co.,2008,Percent,0.85
School District,Carlisle Co.,2009,Number,51
School District,Carlisle Co.,2009,Percent,0.96
School District,Carroll Co.,2003,Number,89
School District,Carroll Co.,2004,Number,82
School District,Carroll Co.,2005,Number,107
School District,Carroll Co.,2006,Number,94
School District,Carroll Co.,2007,Number,113
School District,Carroll Co.,2008,Number,116
School District,Carroll Co.,2003,Percent,0.7
School District,Carroll Co.,2004,Percent,0.77
School District,Carroll Co.,2005,Percent,0.86
School District,Carroll Co.,2006,Percent,0.85
School District,Carroll Co.,2007,Percent,0.9
School District,Carroll Co.,2008,Percent,0.87
School District,Carroll Co.,2009,Number,114
School District,Carroll Co.,2009,Percent,0.9
School District,Carter Co.,2003,Number,273
School District,Carter Co.,2004,Number,231
School District,Carter Co.,2005,Number,246
School District,Carter Co.,2006,Number,286
School District,Carter Co.,2007,Number,270
School District,Carter Co.,2008,Number,341
School District,Carter Co.,2003,Percent,0.84
School District,Carter Co.,2004,Percent,0.85
School District,Carter Co.,2005,Percent,0.81
School District,Carter Co.,2006,Percent,0.83
School District,Carter Co.,2007,Percent,0.89
School District,Carter Co.,2008,Percent,0.89
School District,Carter Co.,2009,Number,302
School District,Carter Co.,2009,Percent,0.9
School District,Casey Co.,2003,Number,134
School District,Casey Co.,2004,Number,143
School District,Casey Co.,2005,Number,140
School District,Casey Co.,2006,Number,137
School District,Casey Co.,2007,Number,155
School District,Casey Co.,2008,Number,149
School District,Casey Co.,2003,Percent,0.82
School District,Casey Co.,2004,Percent,0.82
School District,Casey Co.,2005,Percent,0.82
School District,Casey Co.,2006,Percent,0.88
School District,Casey Co.,2007,Percent,0.88
School District,Casey Co.,2008,Percent,0.88
School District,Casey Co.,2009,Number,135
School District,Casey Co.,2009,Percent,0.82
School District,Caverna Ind.,2003,Number,41
School District,Caverna Ind.,2004,Number,57
School District,Caverna Ind.,2005,Number,52
School District,Caverna Ind.,2006,Number,51
School District,Caverna Ind.,2007,Number,40
School District,Caverna Ind.,2008,Number,40
School District,Caverna Ind.,2003,Percent,0.79
School District,Caverna Ind.,2004,Percent,0.86
School District,Caverna Ind.,2005,Percent,0.83
School District,Caverna Ind.,2006,Percent,0.91
School District,Caverna Ind.,2007,Percent,0.85
School District,Caverna Ind.,2008,Percent,0.8
School District,Caverna Ind.,2009,Number,43
School District,Caverna Ind.,2009,Percent,0.88
School District,Christian Co.,2003,Number,475
School District,Christian Co.,2004,Number,517
School District,Christian Co.,2005,Number,449
School District,Christian Co.,2006,Number,421
School District,Christian Co.,2007,Number,481
School District,Christian Co.,2008,Number,502
School District,Christian Co.,2003,Percent,0.75
School District,Christian Co.,2004,Percent,0.78
School District,Christian Co.,2005,Percent,0.79
School District,Christian Co.,2006,Percent,0.83
School District,Christian Co.,2007,Percent,0.8
School District,Christian Co.,2008,Percent,0.82
School District,Christian Co.,2009,Number,474
School District,Christian Co.,2009,Percent,0.82
School District,Clark Co.,2003,Number,280
School District,Clark Co.,2004,Number,261
School District,Clark Co.,2005,Number,272
School District,Clark Co.,2006,Number,297
School District,Clark Co.,2007,Number,348
School District,Clark Co.,2008,Number,304
School District,Clark Co.,2003,Percent,0.69
School District,Clark Co.,2004,Percent,0.7
School District,Clark Co.,2005,Percent,0.7
School District,Clark Co.,2006,Percent,0.74
School District,Clark Co.,2007,Percent,0.8
School District,Clark Co.,2008,Percent,0.8
School District,Clark Co.,2009,Number,338
School District,Clark Co.,2009,Percent,0.85
School District,Clay Co.,2003,Number,190
School District,Clay Co.,2004,Number,176
School District,Clay Co.,2005,Number,193
School District,Clay Co.,2006,Number,199
School District,Clay Co.,2007,Number,217
School District,Clay Co.,2008,Number,187
School District,Clay Co.,2003,Percent,0.58
School District,Clay Co.,2004,Percent,0.62
School District,Clay Co.,2005,Percent,0.66
School District,Clay Co.,2006,Percent,0.74
School District,Clay Co.,2007,Percent,0.76
School District,Clay Co.,2008,Percent,0.71
School District,Clay Co.,2009,Number,211
School District,Clay Co.,2009,Percent,0.72
School District,Clinton Co.,2003,Number,64
School District,Clinton Co.,2004,Number,87
School District,Clinton Co.,2005,Number,84
School District,Clinton Co.,2006,Number,76
School District,Clinton Co.,2007,Number,96
School District,Clinton Co.,2008,Number,82
School District,Clinton Co.,2003,Percent,0.74
School District,Clinton Co.,2004,Percent,0.75
School District,Clinton Co.,2005,Percent,0.76
School District,Clinton Co.,2006,Percent,0.78
School District,Clinton Co.,2007,Percent,0.85
School District,Clinton Co.,2008,Percent,0.89
School District,Clinton Co.,2009,Number,97
School District,Clinton Co.,2009,Percent,0.9
School District,Cloverport Ind.,2003,Number,22
School District,Cloverport Ind.,2004,Number,13
School District,Cloverport Ind.,2005,Number,20
School District,Cloverport Ind.,2006,Number,14
School District,Cloverport Ind.,2007,Number,20
School District,Cloverport Ind.,2008,Number,19
School District,Cloverport Ind.,2003,Percent,1
School District,Cloverport Ind.,2004,Percent,0.93
School District,Cloverport Ind.,2005,Percent,0.95
School District,Cloverport Ind.,2006,Percent,0.93
School District,Cloverport Ind.,2007,Percent,1
School District,Cloverport Ind.,2008,Percent,1
School District,Cloverport Ind.,2009,Number,16
School District,Cloverport Ind.,2009,Percent,0.94
School District,Corbin Ind.,2003,Number,158
School District,Corbin Ind.,2004,Number,157
School District,Corbin Ind.,2005,Number,151
School District,Corbin Ind.,2006,Number,161
School District,Corbin Ind.,2007,Number,154
School District,Corbin Ind.,2008,Number,147
School District,Corbin Ind.,2003,Percent,0.91
School District,Corbin Ind.,2004,Percent,0.91
School District,Corbin Ind.,2005,Percent,0.96
School District,Corbin Ind.,2006,Percent,0.98
School District,Corbin Ind.,2007,Percent,0.97
School District,Corbin Ind.,2008,Percent,0.99
School District,Corbin Ind.,2009,Number,168
School District,Corbin Ind.,2009,Percent,1
School District,Covington Ind.,2003,Number,194
School District,Covington Ind.,2004,Number,189
School District,Covington Ind.,2005,Number,189
School District,Covington Ind.,2006,Number,155
School District,Covington Ind.,2007,Number,161
School District,Covington Ind.,2008,Number,156
School District,Covington Ind.,2003,Percent,0.89
School District,Covington Ind.,2004,Percent,0.95
School District,Covington Ind.,2005,Percent,0.97
School District,Covington Ind.,2006,Percent,0.89
School District,Covington Ind.,2007,Percent,0.89
School District,Covington Ind.,2008,Percent,0.84
School District,Covington Ind.,2009,Number,166
School District,Covington Ind.,2009,Percent,0.86
School District,Crittenden Co.,2003,Number,98
School District,Crittenden Co.,2004,Number,91
School District,Crittenden Co.,2005,Number,80
School District,Crittenden Co.,2006,Number,99
School District,Crittenden Co.,2007,Number,75
School District,Crittenden Co.,2008,Number,88
School District,Crittenden Co.,2003,Percent,0.9
School District,Crittenden Co.,2004,Percent,0.87
School District,Crittenden Co.,2005,Percent,0.86
School District,Crittenden Co.,2006,Percent,0.88
School District,Crittenden Co.,2007,Percent,0.82
School District,Crittenden Co.,2008,Percent,0.83
School District,Crittenden Co.,2009,Number,78
School District,Crittenden Co.,2009,Percent,0.77
School District,Cumberland Co.,2003,Number,76
School District,Cumberland Co.,2004,Number,50
School District,Cumberland Co.,2005,Number,60
School District,Cumberland Co.,2006,Number,68
School District,Cumberland Co.,2007,Number,73
School District,Cumberland Co.,2008,Number,85
School District,Cumberland Co.,2003,Percent,0.72
School District,Cumberland Co.,2004,Percent,0.68
School District,Cumberland Co.,2005,Percent,0.82
School District,Cumberland Co.,2006,Percent,0.8
School District,Cumberland Co.,2007,Percent,0.76
School District,Cumberland Co.,2008,Percent,0.77
School District,Cumberland Co.,2009,Number,68
School District,Cumberland Co.,2009,Percent,0.83
School District,Danville Ind.,2003,Number,98
School District,Danville Ind.,2004,Number,93
School District,Danville Ind.,2005,Number,88
School District,Danville Ind.,2006,Number,113
School District,Danville Ind.,2007,Number,111
School District,Danville Ind.,2008,Number,119
School District,Danville Ind.,2003,Percent,0.85
School District,Danville Ind.,2004,Percent,0.81
School District,Danville Ind.,2005,Percent,0.83
School District,Danville Ind.,2006,Percent,0.88
School District,Danville Ind.,2007,Percent,0.94
School District,Danville Ind.,2008,Percent,0.91
School District,Danville Ind.,2009,Number,122
School District,Danville Ind.,2009,Percent,0.88
School District,Daviess Co.,2003,Number,737
School District,Daviess Co.,2004,Number,711
School District,Daviess Co.,2005,Number,756
School District,Daviess Co.,2006,Number,696
School District,Daviess Co.,2007,Number,738
School District,Daviess Co.,2008,Number,795
School District,Daviess Co.,2003,Percent,0.91
School District,Daviess Co.,2004,Percent,0.91
School District,Daviess Co.,2005,Percent,0.95
School District,Daviess Co.,2006,Percent,0.93
School District,Daviess Co.,2007,Percent,0.93
School District,Daviess Co.,2008,Percent,0.94
School District,Daviess Co.,2009,Number,784
School District,Daviess Co.,2009,Percent,0.94
School District,Dawson Springs Ind.,2003,Number,32
School District,Dawson Springs Ind.,2004,Number,55
School District,Dawson Springs Ind.,2005,Number,34
School District,Dawson Springs Ind.,2006,Number,39
School District,Dawson Springs Ind.,2007,Number,31
School District,Dawson Springs Ind.,2008,Number,46
School District,Dawson Springs Ind.,2003,Percent,0.8
School District,Dawson Springs Ind.,2004,Percent,0.86
School District,Dawson Springs Ind.,2005,Percent,0.81
School District,Dawson Springs Ind.,2006,Percent,0.83
